Expiry,Tenor,Forward,Annuity,Offset,Straddle,Strangle,RiskReversal,Payer,Receiver,Strike_Payer,Strike_Receiver,T_expiry,alpha,rho,nu
3m,1.0,0.034156,0.9581095872389858,0.0025,0.002,0.001,-0.0002,0.0004,0.0006,0.036656,0.031656,0.25,0.005121731274812789,-0.2845520054318204,1.9998311712331047
6m,1.0,0.033345,0.9506198521499032,0.005,0.0031,0.0013,-0.0003,0.0005,0.0008,0.038345,0.028345,0.5,0.005097295530641841,-0.24142955266158764,1.99999989375529
1y,1.0,0.033189,0.9349663118847464,0.01,0.005,0.0018,-0.0003,0.00075,0.00105,0.043189,0.023189,1.0,0.005647944311687806,-0.1579375571515894,1.5256934680000849
2y,1.0,0.034962,0.9043607727333324,0.01,0.0078,0.0042,0.0001,0.00215,0.00205,0.044962,0.0249619999999999,2.0,0.006058496506936607,0.029615520486758112,1.253743171580676
3y,1.0,0.0366299999999999,0.9646643450411416,0.015,0.0096,0.0046,0.0003,0.00245,0.00215,0.0516299999999999,0.0216299999999999,3.0,0.005781114480112659,0.07230164658631105,0.9951694048841819
5y,1.0,0.039854,0.8163611763141514,0.02,0.0118,0.0056,0.0006,0.0031,0.0025,0.059854,0.019854,5.0,0.006583639266440738,0.12086817122621878,0.7521885778450895
10y,1.0,0.04644,0.6894812139259986,0.02,0.0135,0.0081,0.0007,0.0044,0.0037,0.06644,0.02644,10.0,0.005980330494136761,0.1154460915248452,0.6036991880154545
3m,2.0,0.0339299999999999,1.8851893188623092,0.0025,0.0046,0.0026,-0.0002,0.0012,0.0014,0.03643,0.0314299999999999,0.25,0.0059697987614680936,-0.1230160465897046,1.9999999999999842
6m,2.0,0.033777,1.869398210061151,0.005,0.007,0.0034,-0.0003,0.00155,0.00185,0.038777,0.028777,0.5,0.005841117785777281,-0.10089691229507095,1.999999999999953
1y,2.0,0.034062,1.8375821581041656,0.01,0.0107,0.0042,-0.0004,0.0019,0.0023,0.044062,0.024062,1.0,0.006077220737962954,-0.09500033255878339,1.5631742315774961
2y,2.0,0.035778,1.776082653891592,0.01,0.0157,0.0085,0.0002,0.00435,0.00415,0.045778,0.0257779999999999,2.0,0.006212763475749323,0.02956115614007802,1.2520950024087025
3y,2.0,0.037383,1.893190970901616,0.015,0.0189,0.0091,0.0006,0.00485,0.00425,0.052383,0.022383,3.0,0.00579360017340914,0.07328315386725195,0.9978091019480851
5y,2.0,0.040586,1.5997556586899857,0.02,0.0231,0.0111,0.0011,0.0061,0.005,0.060586,0.020586,5.0,0.006550674661770728,0.11227327874865152,0.7590342348248797
10y,2.0,0.046443,1.3483581607256985,0.02,0.0261,0.0157,0.0013,0.0085,0.0072,0.066443,0.026443,10.0,0.005899053692651076,0.11031629161489001,0.6060830284868287
3m,5.0,0.0356729999999999,4.465156832545859,0.0025,0.012,0.0073,-0.0003,0.0035,0.0038,0.038173,0.0331729999999999,0.25,0.0065962483503319595,-0.07120954055384729,1.9999999999997653
6m,5.0,0.035842,4.4246618756834835,0.005,0.0175,0.0087,-0.0003,0.0042,0.0045,0.0408419999999999,0.0308419999999999,0.5,0.006156805285869091,-0.04053152921056752,1.9999999999999987
1y,5.0,0.036434,4.343869859123,0.01,0.0258,0.01,-0.0001,0.00495,0.00505,0.046434,0.026434,1.0,0.0062191352621100825,-0.00998212786755681,1.5374209339136609
2y,5.0,0.038065,4.189560052641148,0.01,0.0368,0.0199,0.0008,0.01035,0.00955,0.048065,0.028065,2.0,0.006173780680440612,0.05036404101575526,1.2534981781122096
3y,5.0,0.039589,4.456967077273738,0.015,0.0441,0.0209,0.0016,0.01125,0.00965,0.054589,0.024589,3.0,0.005763732549558808,0.08437728173292317,0.9895928301837585
5y,5.0,0.042365,3.754158939297188,0.02,0.0534,0.0252,0.0031,0.01415,0.01105,0.062365,0.022365,5.0,0.006483713525881845,0.13780685794995026,0.753201077299816
10y,5.0,0.0472729999999999,3.147409019065553,0.02,0.0598,0.0358,0.0043,0.02005,0.01575,0.067273,0.0272729999999999,10.0,0.005806541390995743,0.15850595281081004,0.608418275761898
3m,10.0,0.038835,8.083369149888464,0.0025,0.0212,0.0126,-0.0001,0.00625,0.00635,0.041335,0.036335,0.25,0.00641988192564597,-0.013282193713955082,1.9999999999996099
6m,10.0,0.039072,8.004416362245877,0.005,0.0313,0.0154,0.0001,0.00775,0.00765,0.044072,0.034072,0.5,0.006080241376375156,0.0075824200790051595,1.9999999999999967
1y,10.0,0.039689,7.847244645948719,0.01,0.0463,0.018,0.0005,0.00925,0.00875,0.049689,0.029689,1.0,0.0061703834653761775,0.02771279557791038,1.5439866331847918
2y,10.0,0.04104,7.552476516952243,0.01,0.0653,0.0347,0.0014,0.01805,0.01665,0.05104,0.0310399999999999,2.0,0.006105476146818347,0.05001761189331307,1.2393003610109696
3y,10.0,0.042358,8.016517818001217,0.015,0.0778,0.0362,0.0026,0.0194,0.0168,0.057358,0.027358,3.0,0.005670088674849666,0.07826484279448412,0.9812902607026766
5y,10.0,0.044542,6.732230003767613,0.02,0.0932,0.0429,0.0046,0.02375,0.01915,0.064542,0.0245419999999999,5.0,0.006331271227706128,0.11826464324185332,0.7436322910132407
10y,10.0,0.047215,5.647362469957216,0.02,0.1034,0.06,0.007,0.0335,0.0265,0.067215,0.027215,10.0,0.00564587098398443,0.15078943588552485,0.5953541242039476
3m,30.0,0.04194,16.73708047895554,0.0025,0.0429,0.0253,0.0,0.01265,0.01265,0.04444,0.0394399999999999,0.25,0.00627723494589389,3.864240176214363e-05,1.9999999985355812
6m,30.0,0.041992,16.582876130190776,0.005,0.0631,0.0307,0.0002,0.01545,0.01525,0.046992,0.036992,0.5,0.00591680097173509,0.007507181164772193,1.9999999999999973
1y,30.0,0.0421659999999999,16.273380713842403,0.01,0.0928,0.035,0.0007,0.01785,0.01715,0.052166,0.0321659999999999,1.0,0.005980744312856708,0.01957633232153242,1.5302290305752084
2y,30.0,0.042565,15.6926146636142,0.01,0.1295,0.0675,0.0031,0.0353,0.0322,0.052565,0.032565,2.0,0.005838861253115109,0.055723537003706684,1.2338263975428627
3y,30.0,0.04288,16.703073857161176,0.015,0.1534,0.0693,0.0051,0.0372,0.0321,0.05788,0.02788,3.0,0.005380235101418243,0.07831694434060801,0.9743809031539472
5y,30.0,0.0432479999999999,14.117171857234064,0.02,0.1824,0.0812,0.0089,0.04505,0.03615,0.063248,0.0232479999999999,5.0,0.005920728717276929,0.11733942037852939,0.7394826936401131
10y,30.0,0.042633,12.08685216583314,0.02,0.2034,0.1143,0.0152,0.06475,0.04955,0.062633,0.022633,10.0,0.005219668245189019,0.1656963797779687,0.5896173019280103
