Expiry,Tenor,Forward,Annuity,Offset,Straddle,Strangle,RiskReversal,Payer,Receiver,Strike_Payer,Strike_Receiver,T_expiry,alpha,rho,nu,ATM Vol,rho_roll,nu_roll
3m,1.0,0.034156,0.9581095872389858,0.0025,0.002,0.001,-0.0002,0.0004,0.0006,0.036656,0.031656,0.25,0.005121731274812789,-0.2845520054318204,1.9998311712331047,0.005496640688210715,,
6m,1.0,0.033345,0.9506198521499032,0.005,0.0031,0.0013,-0.0003,0.0005,0.0008,0.038345,0.028345,0.5,0.005097295530641841,-0.24142955266158764,1.99999989375529,0.0058725666212171785,0.1724898110809311,0.0006748900887414422
1y,1.0,0.033189,0.9349663118847464,0.01,0.005,0.0018,-0.0003,0.00075,0.00105,0.043189,0.023189,1.0,0.005647944311687806,-0.1579375571515894,1.5256934680000849,0.006702530764745983,0.1669839910199965,-0.9486128515104104
2y,1.0,0.034962,0.9043607727333324,0.01,0.0078,0.0042,0.0001,0.00215,0.00205,0.044962,0.0249619999999999,2.0,0.006058496506936607,0.029615520486758112,1.253743171580676,0.007643605137961223,0.1875530776383475,-0.27195029641940893
3y,1.0,0.0366299999999999,0.9646643450411416,0.015,0.0096,0.0046,0.0003,0.00245,0.00215,0.0516299999999999,0.0216299999999999,3.0,0.005781114480112659,0.07230164658631105,0.9951694048841819,0.0072012400860186595,0.04268612609955294,-0.258573766696494
5y,1.0,0.039854,0.8163611763141514,0.02,0.0118,0.0056,0.0006,0.0031,0.0025,0.059854,0.019854,5.0,0.006583639266440738,0.12086817122621878,0.7521885778450895,0.008101687049087916,0.024283262319953862,-0.1214904135195462
10y,1.0,0.04644,0.6894812139259986,0.02,0.0135,0.0081,0.0007,0.0044,0.0037,0.06644,0.02644,10.0,0.005980330494136761,0.1154460915248452,0.6036991880154545,0.007760309485789154,-0.0010844159402747162,-0.029697877965927
3m,2.0,0.0339299999999999,1.8851893188623092,0.0025,0.0046,0.0026,-0.0002,0.0012,0.0014,0.03643,0.0314299999999999,0.25,0.0059697987614680936,-0.1230160465897046,1.9999999999999842,0.006455989410021974,,
6m,2.0,0.033777,1.869398210061151,0.005,0.007,0.0034,-0.0003,0.00155,0.00185,0.038777,0.028777,0.5,0.005841117785777281,-0.10089691229507095,1.999999999999953,0.0067997714990334895,0.0884765371785346,-1.2523315717771766e-13
1y,2.0,0.034062,1.8375821581041656,0.01,0.0107,0.0042,-0.0004,0.0019,0.0023,0.044062,0.024062,1.0,0.006077220737962954,-0.09500033255878339,1.5631742315774961,0.0072979492215609265,0.011793159472575115,-0.8736515368449136
2y,2.0,0.035778,1.776082653891592,0.01,0.0157,0.0085,0.0002,0.00435,0.00415,0.045778,0.0257779999999999,2.0,0.006212763475749323,0.02956115614007802,1.2520950024087025,0.00783397055063659,0.12456148869886141,-0.3110792291687936
3y,2.0,0.037383,1.893190970901616,0.015,0.0189,0.0091,0.0006,0.00485,0.00425,0.052383,0.022383,3.0,0.00579360017340914,0.07328315386725195,0.9978091019480851,0.007224043869041958,0.04372199772717393,-0.2542859004606174
5y,2.0,0.040586,1.5997556586899857,0.02,0.0231,0.0111,0.0011,0.0061,0.005,0.060586,0.020586,5.0,0.006550674661770728,0.11227327874865152,0.7590342348248797,0.008093466318649878,0.019495062440699783,-0.1193874335616027
